timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1511210468641,481,Logout,200,OK,Grupa wątków 1-12,text,true,,11526,1099,13,13,295,0,174
1511210468750,434,Logout,200,OK,Grupa wątków 1-13,text,true,,11526,1099,12,12,361,0,183
1511210468263,953,Login,200,OK,Grupa wątków 1-16,text,true,SMOKE_TEST_PASSED,26590,920,12,12,392,0,177
1511210468817,429,HTTP Request Mailbox,200,OK,Grupa wątków 1-14,text,true,number found,26662,1124,12,12,37,0,0
1511210468678,603,Visit login page,200,OK,Grupa wątków 1-21,text,true,,26800,234,12,12,64,0,35
1511210468426,912,Login,200,OK,Grupa wątków 1-17,text,true,SMOKE_TEST_PASSED,26590,920,12,12,470,0,166
1511210468853,565,Visit login page,200,OK,Grupa wątków 1-22,text,true,,26800,234,13,13,63,0,38
1511210469123,304,HTTP Request Mailbox,200,OK,Grupa wątków 1-15,text,true,number not found,26662,1124,13,13,43,0,0
1511210469219,240,HTTP Request Mailbox,200,OK,Grupa wątków 1-16,text,true,number found,26662,1124,13,13,50,0,0
1511210469341,237,HTTP Request Mailbox,200,OK,Grupa wątków 1-17,text,true,number not found,26662,1124,13,13,44,0,0
1511210469014,622,Visit login page,200,OK,Grupa wątków 1-23,text,true,,26800,234,13,13,155,0,108
1511210468808,880,Login,200,OK,Grupa wątków 1-19,text,true,SMOKE_TEST_PASSED,26590,920,13,13,473,0,156
1511210469247,450,Logout,200,OK,Grupa wątków 1-14,text,true,,11526,1099,13,13,317,0,191
1511210469190,521,Visit login page,200,OK,Grupa wątków 1-24,text,true,,26800,234,12,12,84,0,37
1511210469429,383,Logout,200,OK,Grupa wątków 1-15,text,true,,11526,1099,12,12,282,0,157
1511210469382,433,HTTP Request Mailbox,200,OK,Grupa wątków 1-11,text,true,number found,26662,1002,11,11,76,0,42
1511210468934,898,Login,200,OK,Grupa wątków 1-20,text,true,SMOKE_TEST_PASSED,26590,920,11,11,470,0,238
1511210469367,480,Visit login page,200,OK,Grupa wątków 1-25,text,true,,26800,234,11,11,74,0,46
1511210469461,412,Logout,200,OK,Grupa wątków 1-16,text,true,,11526,1099,11,11,315,0,193
1511210469692,202,HTTP Request Mailbox,200,OK,Grupa wątków 1-19,text,true,number not found,26662,1124,10,10,33,0,0
1511210469581,414,Logout,200,OK,Grupa wątków 1-17,text,true,,11526,1099,10,10,355,0,215
1511210469283,741,Login,200,OK,Grupa wątków 1-21,text,true,SMOKE_TEST_PASSED,26590,920,9,9,418,0,192
1511210469834,240,HTTP Request Mailbox,200,OK,Grupa wątków 1-20,text,true,number found,26662,1124,9,9,36,0,0
1511210469419,706,Login,200,OK,Grupa wątków 1-22,text,true,SMOKE_TEST_PASSED,26590,920,9,9,408,0,159
1511210469818,347,Logout,200,OK,Grupa wątków 1-11,text,true,,11526,977,9,9,293,0,173
1511210470027,202,HTTP Request Mailbox,200,OK,Grupa wątków 1-21,text,true,number not found,26662,1124,8,8,29,0,0
1511210469896,363,Logout,200,OK,Grupa wątków 1-19,text,true,,11526,1099,8,8,296,0,157
1511210470127,204,HTTP Request Mailbox,200,OK,Grupa wątków 1-22,text,true,number found,26662,1124,7,7,32,0,0
1511210469637,761,Login,200,OK,Grupa wątków 1-23,text,true,SMOKE_TEST_PASSED,26590,920,7,7,412,0,205
1511210470076,346,Logout,200,OK,Grupa wątków 1-20,text,true,,11526,1099,7,7,257,0,166
1511210469712,744,Login,200,OK,Grupa wątków 1-24,text,true,SMOKE_TEST_PASSED,26590,920,6,6,396,0,185
1511210470230,312,Logout,200,OK,Grupa wątków 1-21,text,true,,11526,1099,6,6,253,0,159
1511210470400,212,HTTP Request Mailbox,200,OK,Grupa wątków 1-23,text,true,number found,26662,1124,5,5,27,0,0
1511210469848,781,Login,200,OK,Grupa wątków 1-25,text,true,SMOKE_TEST_PASSED,26590,920,5,5,371,0,151
1511210470246,431,HTTP Request Mailbox,200,OK,Grupa wątków 1-18,text,true,number not found,26662,1002,5,5,56,0,26
1511210470332,346,Logout,200,OK,Grupa wątków 1-22,text,true,,11526,1099,5,5,262,0,159
1511210470458,245,HTTP Request Mailbox,200,OK,Grupa wątków 1-24,text,true,number not found,26662,1124,4,4,26,0,0
1511210470631,165,HTTP Request Mailbox,200,OK,Grupa wątków 1-25,text,true,number found,26662,1124,4,4,34,0,0
1511210470613,338,Logout,200,OK,Grupa wątków 1-23,text,true,,11526,1099,4,4,285,0,179
1511210470679,324,Logout,200,OK,Grupa wątków 1-18,text,true,,11526,977,3,3,270,0,174
1511210470704,343,Logout,200,OK,Grupa wątków 1-24,text,true,,11526,1099,2,2,274,0,165
1511210470797,289,Logout,200,OK,Grupa wątków 1-25,text,true,,11526,1099,1,1,237,0,150
